Metabolite,PC3_con1,PC3_con2,PC3_con3,PC3_con4,PC3_con5,PC3_con6,PC3_S1,PC3_S2,PC3_S3,PC3_S4,PC3_S5,PC3_S6
metab_16256,31059.8485,32028.05672,29032.15602,33940.27237,30106.96655,37429.57536,43930.91537,40502.79821,43480.18337,39872.33991,44226.97595,47830.54537
metab_16257,3843.232301,7381.176898,12324.31108,5697.938794,1237.778931,5459.660533,11999.44262,11131.17753,9313.847866,1419.648008,11462.61542,4019.682822
metab_16258,12645.47243,11896.30914,13241.29198,11958.5951,13556.27508,15859.04186,20934.08905,21784.74764,20265.65736,16370.19194,21383.22486,18813.55244
metab_16259,8637.792567,2758.998178,1739.450098,3584.219132,7770.31162,3834.936025,6980.732914,3427.306813,5018.589256,5343.527511,4924.70833,3022.20963
metab_16260,264869.1421,268369.048,264362.047,287710.5408,258037.4337,320428.9072,404137.372,385395.1495,381803.9254,340537.9658,403643.3903,414011.1599
metab_16261,48822.21402,53153.41406,53968.24183,55876.10156,49691.76724,61502.49068,76499.05627,73719.25381,73334.30591,66166.1178,75462.55033,79802.03826
metab_16262,45597.47626,46735.59293,48306.62976,50438.52083,47010.5654,57967.49568,73201.17874,71195.24844,71245.01532,61226.96028,73310.57154,74546.19366
metab_16263,0,0,0,0,0,0,0,0,0,0,0,0
Glucose Isomerase From Streptomyces Rubiginosus,2526.918473,2488.020899,2925.456785,2382.958944,2196.579971,2724.735105,3219.736323,3746.660751,3123.096091,2811.217851,3632.851622,4008.334872
metab_16265,0,0,0,0,5768.862061,3594.579387,1834.424635,1246.350275,1220.477499,563.2467381,508.6768676,571.0119682
metab_16266,738.5922496,2462.530371,864.4821871,3008.653866,1830.882116,2931.543217,4549.27364,2912.796929,524.4022137,1170.682928,1500.281337,1346.882066
metab_16267,14268.75842,34605.22449,54235.74462,20525.88261,10794.53728,23022.87864,58469.11619,48843.58375,41783.25673,15434.77528,51963.9721,20937.88428
metab_16268,1686.666794,1376.120535,1331.554471,1388.806294,2908.949264,1694.805089,1257.801868,1433.506276,2206.267252,1726.548604,1482.020805,1455.736309
metab_16269,0,1001.809245,4012.635568,512.9129274,0,0,2984.562868,1580.702288,1778.661355,460.1608437,1594.515726,0
metab_16270,1658.499244,3807.951407,6617.268602,3563.797084,318.0520945,3916.314808,7347.037837,5678.220186,4879.514114,1100.505627,6804.248537,653.9933002
metab_16271,16914.02013,4111.763194,3665.670731,5109.164444,11723.03885,34651.4611,18727.9393,19642.23824,13091.17021,28297.71459,33519.5593,7863.985257
metab_16272,6095.698518,6863.923298,16380.26898,3775.157169,3192.937941,3655.086132,10092.33714,10883.77142,12886.17151,14537.41662,11583.5581,2590.874817
metab_16273,2447.105826,4812.813477,2929.660166,5132.562076,994.639384,5125.232588,4025.90992,3512.79133,3773.861982,2841.68981,3525.196844,4281.276828
metab_16274,0,841.9996743,1752.501489,565.9281526,179.9621438,212.3889586,1968.575492,2270.874126,1583.59223,0,1704.025693,433.5582187
metab_16275,162.6832552,59.2364774,128.6711398,112.2458629,5251.317779,3915.484245,1706.33338,1313.426799,1197.075389,1101.7736,1014.871647,785.1192858
metab_16276,3768.618467,9162.563712,10517.16769,698.4177858,8868.60437,569.6042449,2076.212526,4955.197231,8525.302211,12771.88926,7758.531581,2229.453703
metab_16277,726.1430966,1016.644019,994.350698,766.6141712,573.9413505,1333.66284,3647.026706,3608.679006,3246.098773,1990.468651,3354.542354,1994.267195
metab_16278,13255.65646,3529.699317,2158.853862,2540.713466,7767.822046,8381.44765,7062.230447,6312.745146,6399.915772,11425.83132,11651.84435,3661.196139
metab_16279,28208.48747,11620.55945,6536.081027,8407.295061,19403.77282,22119.06825,19666.93707,17465.36782,19569.95681,32450.64997,33171.84111,13811.79769
metab_16280,978.1882029,1475.091649,1023.466092,1241.465782,1397.464906,1344.665057,1104.456238,1084.202922,1252.363405,1169.588997,842.4111745,804.4249929
metab_16281,3119.03367,1485.712953,0,4631.454814,4367.058172,4987.211894,146.0769489,217.5773293,0,4392.898751,0,5806.246124
metab_16282,1737.944753,1592.447192,1989.142184,1610.080558,1668.186878,1807.043356,2632.785855,1978.253361,2676.625233,1756.797762,2142.852973,1887.589678
metab_16283,1161.309466,0,0,0,0,1268.045007,60.10991315,147.8411933,451.4027053,845.4740543,819.6722259,0
metab_16284,4473.602588,5289.100543,3838.387436,3264.79631,3848.182731,4087.92473,2277.902297,2476.52973,2633.163679,3334.600965,3248.66357,3294.488538
metab_16285,1663.973319,1200.824012,665.2599262,3316.745559,2212.606082,3761.841544,749.6774369,588.9607726,592.6059914,1724.018494,721.0469809,2151.014033
metab_16286,797.7959606,768.9274778,744.772002,738.9337451,2359.547504,2194.776208,1387.666347,1195.661433,1077.551081,1078.316667,1252.369061,1092.945314
metab_16287,3510.09729,736.3463503,364.5787056,831.9622233,2602.285215,1830.784149,0,512.8066321,673.9663244,2878.338754,0,664.5862972
metab_16288,21424.77019,24591.88349,21863.20814,17439.1932,19600.93969,15632.3835,17241.51627,15877.36907,15589.1115,15975.54982,14607.40287,14244.38892
metab_16289,743.5747811,781.9066969,718.5029792,801.5918501,748.9285386,827.5305404,720.33845,947.702754,751.1861112,891.1652639,730.2069816,747.5405954
metab_16290,1852.656314,7209.502369,10331.76688,5186.299199,1399.308803,5127.830463,13715.52509,7377.894634,8368.213366,5203.299189,7671.762012,5802.615456
metab_16291,2353.54633,2663.87609,2540.603711,2335.684415,2169.289712,2343.41178,2205.066972,2612.229726,2289.182176,2142.538732,2120.741203,1990.155953
metab_16292,1906.226416,2220.458337,2093.758605,1927.366972,1634.973781,1799.892714,2009.553493,2450.060956,1800.164705,1597.764068,1753.163545,1493.594062
metab_16293,5214.582425,16171.2133,14694.21038,11291.08856,4431.114428,10070.25165,21410.81855,13389.7468,15442.61903,7215.414552,14765.43175,6407.641892
4-Hydroxynonenal Glutathione,12191.56418,9350.039127,5443.285063,24851.70431,6541.919611,12380.16551,5934.459847,12000.48022,4319.743564,10544.88422,10218.9313,12312.69386
metab_16295,186.419175,280.6499195,155.1516643,415.1110829,220.1175815,149.2003897,184.6209935,316.4816852,203.2457641,160.1229288,201.3468706,298.204901
metab_16296,6272.082703,5324.327263,5223.656596,5733.260503,5559.360976,6415.84278,5090.375037,4514.685137,5586.379336,6598.061777,5347.523678,6441.958424
Indolelactic Acid,100081.6095,94972.21574,95445.74641,98640.89551,93266.88515,91291.58977,93313.15299,96073.0072,91194.21004,87797.36514,91264.68448,92583.17189
metab_16298,1037.518787,1183.56379,981.8722383,1033.34446,1168.346479,1257.137631,986.7521451,1242.101861,1055.141637,966.8264199,816.9574284,991.7614342
metab_16299,0,0,1195.811568,0,0,0,5155.19784,2364.986965,5821.959154,554.9460414,6059.075539,0
metab_16300,0,563.4428419,1107.912975,0,0,0,4669.729663,1880.271433,5407.586446,0,3952.927697,0
Dolasetron,13052.99316,9198.844926,5755.363424,14642.66865,5051.850159,22445.88658,22480.25659,9696.337012,3195.345829,6148.132236,8519.403821,25422.31648
metab_16302,2699.744161,1820.935561,891.5739837,2413.688248,916.8545255,4052.178565,4315.229604,1687.96864,357.755523,943.4569611,1378.078462,5067.032768
metab_16303,1973.202499,2060.543288,2228.24859,2809.408353,2917.699235,2442.660675,4542.11634,3062.128738,1741.490694,2470.919187,2971.767849,2299.796681
metab_16304,867.7727328,1814.55338,2456.281349,4585.220227,1168.682266,3666.311344,3646.847653,1725.008064,3497.264015,3013.799414,2951.858681,5081.534938
metab_16305,10642.67595,9802.346906,11018.20669,12749.02189,12628.81344,11823.25894,18466.8154,11902.71423,9310.413427,11687.43465,13938.92052,11291.17513
metab_16306,11211.21509,11906.39132,11643.90817,11841.37487,7350.902845,8495.4873,9459.551227,10710.26023,10493.15695,11019.92989,11184.63073,11674.5054
metab_16307,0,1317.690653,2813.348156,0,0,0,1792.229695,2853.698135,1531.833109,0,2786.602692,0
metab_16308,190.342215,1399.594727,808.0635744,1269.150958,653.2459967,427.9927814,358.1559062,2784.852365,564.1670419,479.7473674,435.3403268,1014.248946
metab_16309,3234.023905,12696.11271,28785.67013,3305.121936,3372.295677,4819.536315,22880.30656,25045.3905,21057.87414,4052.578171,30353.60702,3263.387691
metab_16310,7848.498687,7445.786196,6452.931064,7476.101433,10524.78989,9076.117188,7432.873829,7155.753119,6491.757577,7372.204182,6547.771452,7921.450709
metab_16311,15610.07847,7889.900672,7916.278077,9114.931986,13700.70416,11754.93656,17646.23665,8186.873328,17533.57326,20468.86822,18324.06887,7703.702875
metab_16312,0,3393.604728,4049.633793,3481.935387,0,2327.561347,5055.364072,2067.150632,2109.533238,1689.915499,4109.099849,2718.854852
metab_16313,16950.91401,6208.042685,5575.504874,7290.742483,12094.94939,10107.76901,15631.74888,6239.191034,14264.04519,17932.42349,14598.69183,6037.219471
metab_16314,86.2764577,65.06845997,310.6720938,0,6449.713438,22.55379726,39.74871618,61.5211789,2241.849377,6922.760285,50.36421,76.76074635
metab_16315,847.4621155,892.1628993,910.0117633,923.5245889,609.7484076,722.4764827,888.2914784,729.0898788,878.0706485,1000.569472,914.8096803,956.1403599
metab_16316,875.2807666,892.222722,795.1125322,960.8263025,1414.607961,1066.944366,955.8368151,805.4347568,815.1070975,1111.808843,751.2516453,1003.406762
metab_16317,1112.455304,1139.06942,883.450364,1172.382976,1551.317245,557.2693247,771.7270097,648.5898909,855.0733984,962.5818395,831.209628,1235.010639
metab_16318,472.0524546,453.1301126,393.132824,455.7300526,612.8619314,496.8498689,443.372002,396.8140449,338.8679851,447.7055621,314.0322354,558.5309172
metab_16319,1840.725231,2619.71544,5687.148278,1775.761714,1004.94424,1557.082661,4214.744281,2906.755565,5361.228565,1833.955609,3659.724919,2445.703091
metab_16320,2559.266304,7262.148473,19560.14928,869.7379132,5543.276374,784.59589,6229.640943,6323.646372,16702.24931,13355.80529,10340.07494,353.3801207
P-Cresol Sulfate,4431.470173,4764.399549,4742.805833,5083.021189,4138.226427,4923.931346,6480.871212,7041.323132,6676.970895,5837.924651,6879.187877,6691.006723
metab_16322,149.7905659,0,0,1951.378088,0,3123.10164,14238.40779,1866.923978,0,0,2368.412561,6721.808562
metab_16323,1908.816553,4400.588913,5270.484886,2238.747464,254.2673666,2420.864861,5580.784944,5280.948239,3440.286019,1467.064109,6123.883389,2020.052659
4-Hydroxy Nonenal Glutathione,25681.39547,16841.00807,11284.86753,47129.44033,12442.38196,24108.28721,12849.38865,19777.16198,8336.63771,20620.82223,19794.32332,25613.52463
metab_16325,0,1432.641748,4975.931501,0,0,913.6675974,4676.053439,3999.285914,3357.41576,245.2696474,3695.599018,684.6491677
metab_16326,628.7185219,653.6603733,871.7088557,637.8526591,499.4097164,676.8946685,695.2541511,980.6097046,1051.952221,451.7327718,1035.297931,1053.296301
metab_16327,376.1828676,516.3720034,667.8083675,762.6122119,1405.958479,877.9666158,1372.512652,1283.06722,1138.137653,582.4953319,1123.990568,1074.564684
metab_16328,49455.61739,49189.17439,51624.24623,53389.79988,44900.15006,50776.38499,59494.27342,60221.70461,59566.68284,52790.98798,61837.99765,61427.62538
metab_16329,9308.912524,7322.492852,7661.667702,9792.063819,15135.71938,14187.127,10986.05799,10329.4787,10272.7867,11473.16371,10574.51515,9700.703154
metab_16330,5097.548654,5295.471445,5583.032614,6228.531131,4670.682867,5513.732027,6686.551922,6486.149345,6794.485024,6129.182163,6790.927454,6617.332015
metab_16331,10463.94532,9874.109321,10417.15949,10766.88819,11758.61494,12280.28478,12368.88001,12066.99418,11765.05986,10279.3054,12530.00817,12222.97279
metab_16332,3610.75259,2841.109421,3030.109247,3627.76444,5904.109367,5380.618654,4191.417568,3888.7266,3954.607842,4282.19466,4040.185969,3745.335383
metab_16333,3376.915483,5840.861269,5097.656339,6291.331078,3033.508629,4535.152098,6620.680872,7032.641271,6558.256943,4679.39506,7655.826091,6852.288469
Methoxyfenozide,127.3246338,2414.674872,6536.71509,0,169.841558,1529.668662,14201.22313,15424.47133,16452.74946,1501.783121,20190.12141,812.1987006
metab_16335,75.02203576,90.40154996,52.23930641,80.12529401,105.2287447,65.87413188,53.76840959,60.09222443,98.03216479,68.99177055,66.50709083,68.86603297
metab_16336,0,2215.574218,1780.38746,1285.416957,669.0549872,984.6872076,2875.468414,2003.941186,1947.11552,366.1872808,2404.302968,1059.391818
metab_16337,21889.48747,20421.5927,18479.04067,19628.6487,19891.2102,20354.56304,15989.62993,16922.65672,16996.90447,20208.33072,16895.97079,19696.62534
metab_16338,1074.871759,4066.685919,3348.076553,3762.170788,2175.29767,4261.688075,3357.746966,7242.67782,3553.006096,3833.184214,3587.544789,3570.786824
metab_16339,1151.265686,2057.237642,2714.437959,1914.794552,1059.053,2129.816099,3064.104545,1940.196745,2112.240824,1169.446006,2428.961332,1734.441019
metab_16340,23699.18154,23615.0602,22248.19715,23375.48826,17534.92216,21810.26715,18644.25046,19215.05999,20238.45865,21893.33515,21255.6104,22496.11767
metab_16341,190.5136411,3017.442039,3506.0717,2149.359253,2609.83651,3506.454987,4124.274845,2251.295862,2858.475554,2504.123471,3520.398609,2409.463763
metab_16342,864.3917575,874.875359,847.5701373,834.1868397,408.2620509,736.7616982,673.5939138,758.1677673,838.7304047,839.9849762,878.9764535,881.3985825
Perindopril Acyl-Beta-D-Glucuronide,5173.216552,13473.79254,30676.02168,3298.777996,6192.727828,4406.256284,15252.70441,18250.26897,14759.68626,4732.936831,17110.06172,2429.46789
metab_16344,0,4245.560164,3198.497494,3058.083341,2638.652636,1603.189379,1085.14255,2339.202944,1616.318803,3233.407858,2108.372146,433.5820844
